H,Avg. Inbound calls,DayOfWeek,Weekday Initial
7,1,1,M​
7,1,3,W​​​
8,13,1,M​
8,17,2,T​​
8,17,3,W​​​
8,14,4,T​​​​
8,11,5,F​​​​​
9,47,1,M​
9,54,2,T​​
9,52,3,W​​​
9,49,4,T​​​​
9,43,5,F​​​​​
10,65,1,M​
10,68,2,T​​
10,72,3,W​​​
10,68,4,T​​​​
10,59,5,F​​​​​
11,72,1,M​
11,78,2,T​​
11,77,3,W​​​
11,73,4,T​​​​
11,64,5,F​​​​​
12,64,1,M​
12,67,2,T​​
12,65,3,W​​​
12,61,4,T​​​​
12,53,5,F​​​​​
13,73,1,M​
13,71,2,T​​
13,63,3,W​​​
13,59,4,T​​​​
13,55,5,F​​​​​
14,71,1,M​
14,74,2,T​​
14,66,3,W​​​
14,69,4,T​​​​
14,55,5,F​​​​​
15,70,1,M​
15,70,2,T​​
15,67,3,W​​​
15,64,4,T​​​​
15,53,5,F​​​​​
16,59,1,M​
16,53,2,T​​
16,55,3,W​​​
16,52,4,T​​​​
16,41,5,F​​​​​
17,10,1,M​
17,10,2,T​​
17,8,3,W​​​
17,9,4,T​​​​
17,6,5,F​​​​​
18,10,1,M​
18,5,2,T​​
18,13,3,W​​​
18,5,4,T​​​​
18,9,5,F​​​​​
19,5,1,M​
19,4,2,T​​
19,8,3,W​​​
19,5,4,T​​​​
19,2,5,F​​​​​
20,1,1,M​
